PPV,Person,Distance
31,1137,4.64
19,1138,2.38
40,1139,3.55
19,1140,3.33
19,1141,3.39
0,1142,5.28
0,1143,6.19
0,1144,4.56
92,1145,3.61
58,1146,5.11
58,1147,2.26
0,1148,3.23
92,1149,3.26
44,1150,4.79
40,1151,3.63
58,1152,4.35
31,1153,3.49
58,1154,2.92
58,1155,3.95
40,1156,2.45
31,1157,7.03
0,1158,5.58
70,1159,1.32
97,1160,4.15
0,1161,8.02
40,1162,1.57
0,1163,5.96
92,1164,2.39
15,1165,3.27
19,1166,1.14
40,1167,2.26
40,1168,2.58
0,1169,3.7
44,1170,4.11
31,1171,3.67
40,1172,6.09
92,1173,2.56
0,1174,4.92
0,1175,7.9
40,1176,4.94
40,1177,4.53
44,1178,2.95
97,1179,2.68
44,1180,7.18
44,1181,5.24
0,1182,4.79
19,1183,3.02
0,1184,3.59
0,1185,2.12
58,1186,5.21
2,1187,1.64
58,1188,1.97
19,1189,1.42
40,1190,4.04
0,1191,3.72
58,1192,2.54
44,1193,3.71
70,1194,2.69
58,1195,6.1
92,1196,1.83
44,1197,7.24
31,1198,1.92
40,1199,2.87
19,1200,3.64
44,1201,2.77
5,1202,1.15
58,1203,5.38
0,1204,2.88
0,1205,6.0
40,1206,3.03
71,1207,1.53
70,1208,1.46
40,1209,3.07
19,1210,2.84
2,1211,3.0
40,1212,2.74
0,1213,2.48
58,1214,1.38
0,1215,6.16
40,1216,2.61
58,1217,4.27
44,1218,6.94
44,1219,1.63
92,1220,3.65
40,1221,4.03
15,1222,3.12
31,1223,3.06
0,1224,4.12
0,1225,1.22
44,1226,4.26
70,1227,2.7
40,1228,3.8
44,1229,8.34
70,1230,5.48
19,1231,2.7
0,1232,2.84
40,1233,5.06
58,1234,4.93
31,1235,2.6
44,1236,1.75
44,1237,1.53
19,1238,5.16
44,1239,5.79
40,1240,1.95
58,1241,5.72
40,1242,4.17
31,1243,4.01
44,1244,3.28
97,1245,1.29
40,1246,2.57
92,1247,4.06
40,1248,3.03
2,1249,4.72
97,1250,1.59
70,1251,1.88
0,1252,4.4
19,1253,4.12
44,1254,3.4
70,1255,1.93
0,1256,5.98
40,1257,2.33
0,1258,4.52
44,1259,5.2
58,1260,5.25
92,1261,2.28
58,1262,0.82
0,1263,5.02
19,1264,2.77
0,1265,2.73
40,1266,0.28
70,1267,5.56
71,1268,2.41
0,1269,3.89
70,1270,4.5
40,1271,1.87
19,1272,7.15
71,1273,1.25
39,1274,2.71
2,1275,1.53
0,1276,5.54
15,1277,3.51
0,1278,5.58
0,1279,1.11
44,1280,7.56
97,1281,1.4
44,1282,3.6
70,1283,1.97
40,1284,3.87
58,1285,1.13
5,1286,0.69
2,1287,2.96
31,1288,2.66
0,1289,1.31
0,1290,2.58
44,1291,2.42
0,1292,6.79
58,1293,5.95
97,1294,3.72
58,1295,2.84
0,1296,7.65
40,1297,2.9
31,1298,3.28
19,1299,1.9
0,1300,0.9
44,1301,8.53
39,1302,2.59
97,1303,5.24
44,1304,4.55
19,1305,1.08
0,1306,2.87
40,1307,1.99
31,1308,5.82
19,1309,3.4
19,1310,1.76
0,1311,2.84
40,1312,2.76
19,1313,1.12
39,1314,1.83
0,1315,3.43
58,1316,4.14
0,1317,4.55
44,1318,3.44
44,1319,6.45
40,1320,0.81
58,1321,1.39
19,1322,2.77
92,1323,1.69
40,1324,2.68
39,1325,2.43
19,1326,3.41
